age,income,education,credit_score,loan_amount,loan_term,employment_status,marital_status,loan_approved
59,24018,Bachelors,312.0,36131,36,Employed,Divorced,No
49,31302,Bachelors,512.0,38870,36,Unemployed,Divorced,No
35,87506,,541.0,43011,24,Employed,Divorced,No
63,61157,High School,792.0,44382,48,Self-Employed,Single,Yes
28,74917,Bachelors,,46475,60,Self-Employed,Single,No
41,112738,PhD,637.0,26607,36,Unemployed,Divorced,No
59,116646,PhD,472.0,29968,60,Employed,Divorced,No
39,103122,PhD,463.0,38398,36,Employed,Divorced,No
43,44519,High School,764.0,16908,60,Employed,Single,Yes
31,116809,Bachelors,796.0,31423,48,Self-Employed,Divorced,Yes
31,107487,PhD,694.0,48615,24,Employed,Divorced,Yes
44,76819,High School,607.0,14171,48,Unemployed,Married,No
56,100910,PhD,482.0,17721,12,Self-Employed,Married,No
60,140430,Masters,809.0,21616,24,Self-Employed,Single,Yes
44,91324,Bachelors,845.0,47512,48,Employed,Married,Yes
23,25408,Bachelors,526.0,43458,12,Unemployed,Married,No
42,79379,High School,735.0,12659,36,Self-Employed,Married,Yes
22,45053,High School,721.0,48369,36,Self-Employed,Single,Yes
44,29446,Bachelors,320.0,16704,60,Employed,Married,No
64,20922,PhD,696.0,37793,24,Employed,Single,No
50,118723,PhD,404.0,36226,36,Unemployed,Divorced,No
58,71356,,491.0,28852,24,Employed,Married,No
22,30789,PhD,316.0,37082,36,Unemployed,Single,No
41,117720,High School,419.0,27794,60,Self-Employed,Married,No
53,86656,High School,692.0,46420,48,Unemployed,Divorced,No
32,64028,PhD,724.0,18379,60,Unemployed,,No
42,84484,High School,428.0,12006,12,Unemployed,Single,No
64,52154,Bachelors,429.0,13682,36,Self-Employed,Single,No
45,102870,Bachelors,328.0,38840,12,Employed,Divorced,No
47,22336,PhD,396.0,37430,12,Self-Employed,Divorced,No
62,123677,Bachelors,309.0,28091,24,Employed,Divorced,No
48,87779,Bachelors,541.0,37983,36,Unemployed,Single,No
36,39029,,531.0,28989,12,Unemployed,Divorced,No
35,79201,Masters,583.0,14915,48,Unemployed,,No
64,52265,Bachelors,499.0,47552,12,Unemployed,Divorced,No
23,122916,PhD,378.0,23990,48,Unemployed,,No
57,132250,Masters,472.0,29734,24,Employed,Married,No
27,136553,High School,766.0,19824,12,Employed,Divorced,Yes
41,63872,High School,715.0,41081,60,Unemployed,Married,No
29,66197,High School,748.0,16033,24,Self-Employed,,Yes
59,145733,PhD,386.0,47736,48,Self-Employed,Single,No
38,75180,Bachelors,400.0,21241,24,Unemployed,Married,No
24,43710,High School,307.0,10939,12,Employed,Married,No
45,49486,PhD,499.0,40063,36,Self-Employed,Single,No
34,91907,Masters,804.0,39464,36,Self-Employed,Single,Yes
29,148876,Bachelors,386.0,16185,48,Self-Employed,Single,No
46,91895,Masters,342.0,32045,48,Unemployed,Married,No
22,84435,PhD,684.0,49769,36,Self-Employed,Married,Yes
40,60631,High School,734.0,24167,48,Self-Employed,Married,Yes
48,149038,High School,707.0,41412,24,Self-Employed,Single,Yes
27,121532,PhD,782.0,26625,60,Self-Employed,Divorced,Yes
64,40103,High School,316.0,44188,60,Employed,Married,No
28,84772,Bachelors,447.0,32076,24,Unemployed,Divorced,No
55,146108,,576.0,49605,60,Unemployed,Single,No
34,34382,Masters,,24029,12,Employed,Married,No
37,104291,PhD,665.0,27973,24,Employed,Divorced,Yes
56,121195,Bachelors,527.0,44121,48,Unemployed,Married,No
60,23756,Bachelors,735.0,36433,24,Self-Employed,Married,No
24,40609,PhD,698.0,48309,36,Self-Employed,Married,Yes
22,134074,PhD,510.0,6932,48,Unemployed,Divorced,No
26,36478,High School,690.0,49254,36,Self-Employed,Single,No
62,120978,Bachelors,798.0,6757,48,Employed,Married,Yes
24,59666,PhD,839.0,35722,60,Self-Employed,Single,Yes
49,95683,PhD,790.0,42853,24,Self-Employed,Single,Yes
38,119097,Bachelors,741.0,43405,12,Self-Employed,Divorced,Yes
46,144714,PhD,560.0,6116,48,Unemployed,,No
64,120420,High School,649.0,48527,48,Employed,Single,Yes
54,91315,Bachelors,651.0,16691,36,Self-Employed,Married,Yes
30,97834,High School,819.0,5492,60,Unemployed,Divorced,No
56,146205,High School,619.0,32882,36,Self-Employed,Married,Yes
34,34153,High School,437.0,13811,36,Employed,Married,No
51,129415,High School,849.0,32808,60,Self-Employed,Married,Yes
35,96325,Bachelors,667.0,29272,12,Employed,Single,Yes
28,129701,High School,519.0,33399,36,Self-Employed,Married,No
34,32999,High School,636.0,11474,36,Employed,,No
43,75318,PhD,522.0,31956,48,Self-Employed,Single,No
60,20814,Bachelors,659.0,47506,60,Employed,Married,No
41,135033,Bachelors,628.0,18979,24,Self-Employed,Married,Yes
36,96077,Masters,762.0,49523,12,Self-Employed,Married,Yes
38,110474,Bachelors,681.0,47565,12,Unemployed,Married,No
44,22443,Bachelors,468.0,33328,60,Unemployed,Single,No
46,95993,Masters,516.0,17867,48,Employed,Married,No
45,95916,Bachelors,677.0,30851,48,Self-Employed,Married,Yes
61,93319,Bachelors,418.0,36279,60,Employed,Single,No
49,145885,Bachelors,489.0,35527,48,Unemployed,Divorced,No
35,129777,Bachelors,669.0,12866,12,Employed,Divorced,Yes
21,37368,Masters,448.0,20449,12,Employed,Single,No
45,35328,Bachelors,787.0,15685,24,Unemployed,Divorced,No
27,76942,Bachelors,673.0,28544,60,Self-Employed,Single,Yes
29,111751,Masters,459.0,10451,36,Employed,Married,No
44,119131,PhD,650.0,26642,36,Unemployed,Married,No
21,47306,High School,587.0,46316,24,Self-Employed,Divorced,No
64,105451,PhD,587.0,44954,24,Unemployed,Married,No
28,59915,Masters,525.0,43870,48,Employed,Divorced,No
44,57219,High School,822.0,36030,24,Self-Employed,Divorced,Yes
31,100879,,821.0,35873,24,Self-Employed,Married,Yes
37,131939,Masters,,5619,36,Unemployed,Married,No
28,84644,Bachelors,701.0,38650,48,Unemployed,,No
55,80279,High School,482.0,30372,24,Unemployed,Married,No
55,73028,Bachelors,787.0,8642,24,Self-Employed,Single,Yes
53,124263,High School,423.0,33001,48,Self-Employed,Married,No
25,20126,Masters,713.0,39064,60,Employed,Married,No
62,72329,Masters,471.0,34290,48,Self-Employed,Single,No
59,47632,PhD,587.0,19122,36,Employed,Married,No
61,127099,High School,734.0,29820,60,Unemployed,Married,No
48,85310,Bachelors,412.0,7895,12,Unemployed,Divorced,No
27,129945,PhD,421.0,10366,48,Self-Employed,Married,No
29,75176,PhD,843.0,13711,36,Unemployed,Married,No
28,139797,PhD,521.0,24596,60,Unemployed,Single,No
32,106066,Bachelors,338.0,23793,48,Self-Employed,Divorced,No
54,125500,,796.0,13199,24,Employed,Divorced,Yes
53,146413,Bachelors,532.0,15717,48,Self-Employed,Divorced,No
43,64327,PhD,829.0,41191,12,Employed,Married,Yes
44,88904,Bachelors,448.0,15211,48,Self-Employed,Divorced,No
57,23797,Masters,696.0,28360,60,Self-Employed,Single,No
55,67882,Masters,601.0,26542,60,Unemployed,Divorced,No
64,33718,Masters,659.0,36312,48,Self-Employed,Single,No
60,54560,Masters,537.0,41435,60,Self-Employed,Divorced,No
42,96589,,535.0,33247,24,Employed,Divorced,No
47,42116,PhD,502.0,27357,48,Unemployed,Single,No
55,56244,PhD,555.0,46045,24,Employed,Divorced,No
21,121721,PhD,534.0,32691,24,Employed,Divorced,No
55,21645,Bachelors,644.0,17424,36,Unemployed,Divorced,No
57,67523,Bachelors,,23852,48,Unemployed,Married,No
34,144085,Bachelors,765.0,27601,60,Unemployed,Single,No
23,137718,Bachelors,840.0,23020,24,Self-Employed,Divorced,Yes
21,39256,Masters,512.0,13155,36,Unemployed,Single,No
25,121376,Masters,762.0,8583,48,Unemployed,Single,No
46,120158,Masters,735.0,20515,48,Unemployed,Single,No
34,73173,High School,582.0,41777,12,Employed,Divorced,No
59,57430,PhD,762.0,24710,12,Employed,Divorced,Yes
47,59282,Bachelors,706.0,48178,24,Self-Employed,Single,Yes
29,139719,Bachelors,387.0,29532,12,Employed,Married,No
35,83374,Masters,343.0,23601,24,Self-Employed,Single,No
35,88244,Bachelors,,9967,60,Employed,Married,Yes
46,31694,Bachelors,577.0,23753,24,Unemployed,Single,No
62,76264,PhD,720.0,25022,12,Employed,Single,Yes
33,95060,Masters,652.0,48463,60,Self-Employed,Single,Yes
52,117416,PhD,814.0,14135,12,Employed,Divorced,Yes
59,77545,High School,318.0,10722,24,Unemployed,,No
52,138195,High School,322.0,32413,36,Self-Employed,Married,No
24,59224,High School,,32236,48,Unemployed,Single,No
50,122516,Masters,329.0,20514,12,Unemployed,Divorced,No
57,117945,Bachelors,407.0,48896,24,Self-Employed,Divorced,No
43,33224,,666.0,42212,60,Unemployed,Married,No
59,60738,Masters,580.0,45386,12,Unemployed,Divorced,No
35,45150,Bachelors,427.0,25331,12,Employed,Married,No
63,83731,PhD,528.0,23060,48,Unemployed,Married,No
49,69688,High School,410.0,6196,24,Unemployed,Married,No
56,119929,PhD,435.0,17297,36,Unemployed,Divorced,No
33,128618,High School,,7787,60,Unemployed,Married,No
52,93509,Masters,485.0,28816,24,Self-Employed,Married,No
27,28577,High School,428.0,45695,60,Employed,Single,No
42,28070,Masters,560.0,24702,12,Unemployed,Married,No
